	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
82	Coturnix japonica	93934	PRJNA314147	314147	Animals	Birds	927.657	41.3681	GCA_001577835.2	chromosome 1:NC_029516.1/CM003781.1; chromosome 2:NC_029517.1/CM003782.1; chromosome 3:NC_029518.1/CM003783.1; chromosome 4:NC_029519.1/CM003784.1; chromosome 5:NC_029520.1/CM003785.1; chromosome 6:NC_029521.1/CM003786.1; chromosome 7:NC_029522.1/CM003787.1; chromosome 8:NC_029523.1/CM003788.1; chromosome 9:NC_029524.1/CM003789.1; chromosome 10:NC_029525.1/CM003790.1; chromosome 11:NC_029526.1/CM003791.1; chromosome 12:NC_029527.1/CM003792.1; chromosome 13:NC_029528.1/CM003793.1; chromosome 14:NC_029529.1/CM003794.1; chromosome 15:NC_029530.1/CM003795.1; chromosome 16:NC_029531.1/CM003796.1; chromosome 17:NC_029532.1/CM003797.1; chromosome 18:NC_029533.1/CM003798.1; chromosome 19:NC_029534.1/CM003799.1; chromosome 20:NC_029535.1/CM003800.1; chromosome 21:NC_029536.1/CM003801.1; chromosome 22:NC_029537.1/CM003802.1; chromosome 23:NC_029538.1/CM003803.1; chromosome 24:NC_029539.1/CM003804.1; chromosome 25:NC_029540.1/CM003805.1; chromosome 26:NC_029541.1/CM003806.1; chromosome 27:NC_029542.1/CM003807.1; chromosome 28:NC_029543.1/CM003808.1; chromosome Z:NC_029547.1/CM003812.1; linkage group LGE22C19W28_E50C23:NC_029544.1/CM003809.1; linkage group LGE64:NC_029545.1/CM003810.1; mitochondrion MT:NC_003408.1/	LSZS01	2531	20980.0	40894.0	2016/02/24	2020/01/16	Chromosome	NCBI	SAMN03989050	1.9491897044804576
86	Struthio camelus australis	441894	PRJNA263340	263340	Animals	Birds	1225.04	41.3	GCA_000698965.1	mitochondrion MT:NC_002785.1/	JJRT01	6915	16670.0	25438.0	2014/05/06	2016/11/17	Scaffold	NCBI	SAMN02316164	1.5259748050389923
92	Equus caballus	9796	PRJNA18661	18661	Animals	Mammals	2506.97	41.5271	GCA_002863925.1	chromosome 1:NC_009144.3/CM009148.1; chromosome 2:NC_009145.3/CM009149.1; chromosome 3:NC_009146.3/CM009150.1; chromosome 4:NC_009147.3/CM009151.1; chromosome 5:NC_009148.3/CM009152.1; chromosome 6:NC_009149.3/CM009153.1; chromosome 7:NC_009150.3/CM009154.1; chromosome 8:NC_009151.3/CM009155.1; chromosome 9:NC_009152.3/CM009156.1; chromosome 10:NC_009153.3/CM009157.1; chromosome 11:NC_009154.3/CM009158.1; chromosome 12:NC_009155.3/CM009159.1; chromosome 13:NC_009156.3/CM009160.1; chromosome 14:NC_009157.3/CM009161.1; chromosome 15:NC_009158.3/CM009162.1; chromosome 16:NC_009159.3/CM009163.1; chromosome 17:NC_009160.3/CM009164.1; chromosome 18:NC_009161.3/CM009165.1; chromosome 19:NC_009162.3/CM009166.1; chromosome 20:NC_009163.3/CM009167.1; chromosome 21:NC_009164.3/CM009168.1; chromosome 22:NC_009165.3/CM009169.1; chromosome 23:NC_009166.3/CM009170.1; chromosome 24:NC_009167.3/CM009171.1; chromosome 25:NC_009168.3/CM009172.1; chromosome 26:NC_009169.3/CM009173.1; chromosome 27:NC_009170.3/CM009174.1; chromosome 28:NC_009171.3/CM009175.1; chromosome 29:NC_009172.3/CM009176.1; chromosome 30:NC_009173.3/CM009177.1; chromosome 31:NC_009174.3/CM009178.1; chromosome X:NC_009175.3/CM009179.1; mitochondrion MT:NC_001640.1/	PJAA01	4701	33170.0	60900.0	2007/06/26	2018/01/05	Chromosome	The Genome Assembly Team	SAMN02953672	1.8359963822731384
93	Gasterosteus aculeatus aculeatus	481459	PRJNA707557	707557	Animals	Fishes	471.894	44.6947	GCA_016920845.1	chromosome 1:NC_053212.1/CM029282.1; chromosome 2:NC_053213.1/CM029283.1; chromosome 3:NC_053214.1/CM029284.1; chromosome 4:NC_053215.1/CM029285.1; chromosome 5:NC_053216.1/CM029286.1; chromosome 6:NC_053217.1/CM029287.1; chromosome 7:NC_053218.1/CM029288.1; chromosome 8:NC_053219.1/CM029289.1; chromosome 9:NC_053220.1/CM029290.1; chromosome 10:NC_053221.1/CM029291.1; chromosome 11:NC_053222.1/CM029292.1; chromosome Y:NC_053233.1/CM029297.1; chromosome 12:NC_053223.1/CM029293.1; chromosome 13:NC_053224.1/CM029294.1; chromosome 14:NC_053225.1/CM029295.1; chromosome 15:NC_053226.1/CM029296.1; chromosome 16:NC_053227.1/CM029298.1; chromosome 17:NC_053228.1/CM029299.1; chromosome 18:NC_053229.1/CM029300.1; chromosome 19:NC_053230.1/CM029301.1; chromosome 20:NC_053231.1/CM029302.1; chromosome 21:NC_053232.1/CM029303.1; mitochondrion MT:NC_041244.1/	JACDQR01	2937	28430.0	45395.0	2021/02/23	2021/02/23	Chromosome	NCBI	SAMN15223905	1.5967288075976083
94	Chlamydomonas reinhardtii	3055	PRJNA12260	12260	Plants	Green Algae	111.098	63.5313	GCA_000002595.3	chromosome 1:NC_057004.1/CM008962.1; chromosome 2:NC_057005.1/CM008963.1; chromosome 3:NC_057006.1/CM008964.1; chromosome 4:NC_057007.1/CM008965.1; chromosome 5:NC_057008.1/CM008966.1; chromosome 6:NC_057009.1/CM008967.1; chromosome 7:NC_057010.1/CM008968.1; chromosome 8:NC_057011.1/CM008969.1; chromosome 9:NC_057012.1/CM008970.1; chromosome 10:NC_057013.1/CM008971.1; chromosome 11:NC_057014.1/CM008972.1; chromosome 12:NC_057015.1/CM008973.1; chromosome 13:NC_057016.1/CM008974.1; chromosome 14:NC_057017.1/CM008975.1; chromosome 15:NC_057018.1/CM008976.1; chromosome 16:NC_057019.1/CM008977.1; chromosome 17:NC_057020.1/CM008978.1	ABCN02	53	17742.0	19527.0	2007/08/03	2018/01/26	Chromosome	DOE Joint Genome Institute	SAMN02953692	1.1006087250591816
101	Meleagris gallopavo	9103	PRJNA42129	42129	Animals	Birds	1115.47	41.6144	GCA_000146605.4	chromosome 1:NC_015011.2/CM000962.2; chromosome 2:NC_015012.2/CM000963.2; chromosome 3:NC_015013.2/CM000964.2; chromosome 4:NC_015014.2/CM000965.2; chromosome 5:NC_015015.2/CM000966.2; chromosome 6:NC_015016.2/CM000967.2; chromosome 7:NC_015017.2/CM000968.2; chromosome 8:NC_015018.2/CM000969.2; chromosome 9:NC_015019.2/CM000970.2; chromosome 10:NC_015020.2/CM000971.2; chromosome 11:NC_015021.2/CM000972.2; chromosome 12:NC_015022.2/CM000973.2; chromosome 13:NC_015023.2/CM000974.2; chromosome 14:NC_015024.2/CM000975.2; chromosome 15:NC_015025.2/CM000976.2; chromosome 16:NC_015026.2/CM000977.2; chromosome 17:NC_015027.2/CM000978.2; chromosome 18:NC_015028.2/CM000979.2; chromosome 19:NC_015029.2/CM000980.2; chromosome 20:NC_015030.2/CM000981.2; chromosome 21:NC_015031.2/CM000982.2; chromosome 22:NC_015032.2/CM000983.2; chromosome 23:NC_015033.2/CM000984.2; chromosome 24:NC_015034.2/CM000985.2; chromosome 25:NC_015035.2/CM000986.2; chromosome 26:NC_015036.2/CM000987.2; chromosome 27:NC_015037.2/CM000988.2; chromosome 28:NC_015038.2/CM000989.2; chromosome 29:NC_015039.2/CM000990.2; chromosome 30:NC_015040.2/CM000991.2; chromosome Z:NC_015041.2/CM000993.2; chromosome W:NC_015042.2/CM000992.2; mitochondrion MT:NC_010195.2/JF275060.1	ADDD02	187695	24376.0	29667.0	2010/09/07	2020/01/29	Chromosome	Turkey Genome Consortium	SAMN02981253	1.217057761732852
102	Drosophila yakuba	7245	PRJNA695779	695779	Animals	Insects	147.899	42.5512	GCA_016746365.2	chromosome X:NC_052526.2/CM028598.2; chromosome 2L:NC_052527.2/CM028599.2; chromosome 2R:NC_052528.2/CM028600.2; chromosome 3L:NC_052529.2/CM028601.2; chromosome 3R:NC_052530.2/CM028602.2; chromosome 4:NC_052531.2/CM028603.2; mitochondrion MT:NC_001322.1/CM028612.2	JAEDAC02	54	16150.0	25398.0	2021/01/25	2021/07/30	Chromosome	NCBI	SAMN15573791	1.5726315789473684
108	Oncorhynchus mykiss	8022	PRJNA639144	639144	Animals	Fishes	2341.69	43.4791	GCA_013265735.3	chromosome 1:NC_048565.1/CM023219.2; chromosome 2:NC_048566.1/CM023220.2; chromosome 3:NC_048567.1/CM023221.2; chromosome 4:NC_048568.1/CM023222.3; chromosome 5:NC_048569.1/CM023223.2; chromosome 6:NC_048570.1/CM023224.2; chromosome 7:NC_048571.1/CM023225.2; chromosome 8:NC_048572.1/CM023226.2; chromosome 9:NC_048573.1/CM023227.2; chromosome 10:NC_048574.1/CM023228.2; chromosome 11:NC_048575.1/CM023229.2; chromosome 12:NC_048576.1/CM023230.2; chromosome 13:NC_048577.1/CM023231.2; chromosome 14:NC_048578.1/CM023232.3; chromosome 15:NC_048579.1/CM023233.2; chromosome 16:NC_048580.1/CM023234.2; chromosome 17:NC_048581.1/CM023235.2; chromosome 18:NC_048582.1/CM023236.2; chromosome 19:NC_048583.1/CM023237.2; chromosome 20:NC_048584.1/CM023238.2; chromosome 21:NC_048585.1/CM023239.2; chromosome 22:NC_048586.1/CM023240.2; chromosome 23:NC_048587.1/CM023241.2; chromosome 24:NC_048588.1/CM023242.2; chromosome 25:NC_048589.1/CM023243.3; chromosome 26:NC_048590.1/CM023244.2; chromosome 27:NC_048591.1/CM023245.2; chromosome 28:NC_048592.1/CM023246.2; chromosome 30:NC_050570.1/CM025857.1; chromosome 31:NC_050571.1/CM025858.1; chromosome 32:NC_050572.1/CM025859.1; chromosome Y:NC_048593.1/CM023247.2; mitochondrion MT:NC_001717.1/	JAAXML02	939	72797.0	97743.0	2020/06/03	2020/10/30	Chromosome	NCBI	SAMN14537335	1.3426789565504074
109	Oreochromis niloticus	8128	PRJNA354796	354796	Animals	Fishes	1005.68	40.7187	GCA_001858045.3	linkage group LG1:NC_031965.2/CM007481.2; linkage group LG2:NC_031966.2/CM007482.2; linkage group LG4:NC_031969.2/CM007485.2; linkage group LG5:NC_031970.2/CM007486.2; linkage group LG6:NC_031971.2/CM007487.2; linkage group LG7:NC_031972.2/CM007488.2; linkage group LG8:NC_031973.2/CM007489.2; linkage group LG9:NC_031974.2/CM007490.2; linkage group LG10:NC_031975.2/CM007491.2; linkage group LG11:NC_031976.2/CM007492.2; linkage group LG12:NC_031977.2/CM007493.2; linkage group LG13:NC_031978.2/CM007494.2; linkage group LG14:NC_031979.2/CM007495.2; linkage group LG15:NC_031980.2/CM007496.2; linkage group LG16:NC_031987.2/CM007497.2; linkage group LG17:NC_031981.2/CM007498.2; linkage group LG18:NC_031982.2/CM007499.2; linkage group LG19:NC_031983.2/CM007500.2; linkage group LG20:NC_031984.2/CM007501.2; linkage group LG22:NC_031985.2/CM007502.2; linkage group LG23:NC_031986.2/CM007503.2; linkage group LG3:NC_031967.2/CM007483.2; mitochondrion MT:NC_013663.1/	MKQE02	2460	42646.0	61679.0	2016/10/31	2020/09/30	Chromosome	NCBI	SAMN05859795	1.4463021150869952
111	Drosophila simulans	7240	PRJNA695671	695671	Animals	Insects	131.664	42.4648	GCA_016746395.2	chromosome 2L:NC_052520.2/CM028640.2; chromosome 2R:NC_052521.2/CM028641.2; chromosome 3L:NC_052522.2/CM028642.2; chromosome 3R:NC_052523.2/CM028643.2; chromosome 4:NC_052524.2/CM028644.2; chromosome X:NC_052525.2/CM028645.2; mitochondrion MT:CM028646.2	NGVV02	95	15845.0	26225.0	2021/01/25	2021/10/05	Chromosome	NCBI	SAMN06473875	1.6550962448721995
112	Drosophila mauritiana	7226	PRJNA383250	383250	Animals	Insects	152.317	42.1937	GCA_004382145.1	chromosome 2L:NC_046667.1/CM015614.1; chromosome 2R:NC_046668.1/CM015615.1; chromosome 3L:NC_046669.1/CM015616.1; chromosome 3R:NC_046670.1/CM015617.1; chromosome 4:NC_046671.1/CM015612.1; chromosome X:NC_046672.1/CM015613.1; mitochondrion MT:NC_005779.1/CM016415.1	NIGA01	353	16030.0	23239.0	2019/03/26	2019/04/16	Chromosome	University of California, Irvine	SAMN06827991	1.449719276356831
113	Pan troglodytes	9598	PRJNA945513	945513	Animals	Mammals	3177.76	40.5771	GCA_028858775.2	chromosome 1:NC_072398.2/CM054434.2; chromosome 2:NC_086015.1/CM068905.1; chromosome 3:NC_072401.2/CM054437.2; chromosome 4:NC_072402.2/CM054438.2; chromosome 5:NC_072403.2/CM054439.2; chromosome 6:NC_072404.2/CM054440.2; chromosome 7:NC_072405.2/CM054441.2; chromosome 8:NC_072406.2/CM054442.2; chromosome 9:NC_072407.2/CM054443.2; chromosome 10:NC_072408.2/CM054444.2; chromosome 11:NC_072409.2/CM054445.2; chromosome 12:NC_072410.2/CM054446.2; chromosome 13:NC_072411.2/CM054447.2; chromosome 14:NC_072412.2/CM054448.2; chromosome 15:NC_072413.2/CM054449.2; chromosome 16:NC_072414.2/CM054450.2; chromosome 17:NC_072415.2/CM054451.2; chromosome 18:NC_072416.2/CM054452.2; chromosome 19:NC_072417.2/CM054453.2; chromosome 20:NC_072418.2/CM054454.2; chromosome 21:NC_072419.2/CM054455.2; chromosome 22:NC_072420.2/CM054456.2; chromosome 23:NC_086016.1/CM068906.1; chromosome X:NC_072421.2/CM054457.2; chromosome Y:NC_072422.2/CM054458.2; mitochondrion MT:NC_001643.1/	JAQQLN02	26	41815.0	109312.0	2023/02/24	2024/01/08	Complete Genome	NCBI	SAMN30216104	2.6141815138108333
121	Macaca mulatta	9544	PRJNA528504	528504	Animals	Mammals	2971.33	41.1015	GCA_003339765.3	chromosome 1:NC_041754.1/CM014336.1; chromosome 2:NC_041755.1/CM014337.1; chromosome 3:NC_041756.1/CM014338.1; chromosome 4:NC_041757.1/CM014339.1; chromosome 5:NC_041758.1/CM014340.1; chromosome 6:NC_041759.1/CM014341.1; chromosome 7:NC_041760.1/CM014342.1; chromosome 8:NC_041761.1/CM014343.1; chromosome 9:NC_041762.1/CM014344.1; chromosome 10:NC_041763.1/CM014345.1; chromosome 11:NC_041764.1/CM014346.1; chromosome 12:NC_041765.1/CM014347.1; chromosome 13:NC_041766.1/CM014348.1; chromosome 14:NC_041767.1/CM014349.1; chromosome 15:NC_041768.1/CM014350.1; chromosome 16:NC_041769.1/CM014351.1; chromosome 17:NC_041770.1/CM014352.1; chromosome 18:NC_041771.1/CM014353.1; chromosome 19:NC_041772.1/CM014354.1; chromosome 20:NC_041773.1/CM014355.1; chromosome X:NC_041774.1/CM014356.1; chromosome Y:NC_027914.1/CM003438.1; mitochondrion MT:NC_005943.1/	QNVO02	2979	40307.0	67977.0	2015/08/20	2019/03/14	Chromosome	NCBI	SAMN09435472	1.6864812563574565
123	Drosophila pseudoobscura	7237	PRJNA622252	622252	Animals	Insects	163.283	45.119	GCA_009870125.2	chromosome 2:NC_046679.1/CM020868.1; chromosome 3:NC_046680.1/CM020869.1; chromosome 4:NC_046681.1/CM020870.1; chromosome 5:NC_046682.1/CM020871.1; chromosome X:NC_046683.1/CM020872.1; mitochondrion MT:NC_046603.1/CM020873.2	WVEN01	70	16880.0	26574.0	2020/01/14	2020/03/03	Chromosome	NCBI	SAMN13616452	1.5742890995260663
132	Brassica rapa	3711	PRJNA59981	59981	Plants	Land Plants	352.983	36.8946	GCA_000309985.3	chromosome A01:NC_024795.2/CM020888.1; chromosome A02:NC_024796.2/CM020889.1; chromosome A03:NC_024797.2/CM020890.1; chromosome A04:NC_024798.2/CM020891.1; chromosome A05:NC_024799.2/CM020892.1; chromosome A06:NC_024800.2/CM020893.1; chromosome A07:NC_024801.2/CM020894.1; chromosome A08:NC_024802.2/CM020895.1; chromosome A09:NC_024803.2/CM020896.1; chromosome A10:NC_024804.2/CM020897.1; chloroplast Pltd:NC_015139.1/	AENI03	1100	51589.0	60607.0	2011/07/14	2020/01/23	Chromosome	Brassica rapa genome sequencing project, BraGSP	SAMN02981293	1.1748047064296652
143	Drosophila ananassae	7217	PRJNA765704	765704	Animals	Insects	213.818	41.819	GCA_017639315.2	chromosome 2L:NC_057927.1/CM029943.2; chromosome 2R:NC_057928.1/CM029944.2; chromosome 3L:NC_057929.1/CM033063.1; chromosome 3R:NC_057930.1/CM033064.1; chromosome XL:NC_057931.1/CM029945.2; chromosome XR:NC_057932.1/CM029946.2; mitochondrion MT:CM029947.1	JACRYV02	139	16982.0	25915.0	2021/03/30	2021/07/16	Chromosome	NCBI	SAMN13901672	1.5260275585914498
148	Drosophila erecta	7220	PRJNA501875	501875	Animals	Insects	146.538	42.4	GCA_003286155.2		QMER02	94	14681.0	23135.0	2018/07/02	2018/10/23	Contig	NCBI	SAMN09383010	1.5758463319937335
149	Drosophila willistoni	7260	PRJNA811224	811224	Animals	Insects	246.986	37.4274	GCA_018902025.2	chromosome 3R:NC_061086.1/CM032166.1	JAFEWB01	744	16774.0	21170.0	2021/06/16	2022/02/10	Chromosome	NCBI	SAMN16513131	1.2620722546798617
153	Blastomyces dermatitidis ER-3	559297	PRJNA29171	29171	Fungi	Ascomycetes	66.6087	37.1	GCA_000003525.2		ACBT01	27	10080.0	11538.0	2009/02/19	2016/06/02	Scaffold	Broad Institute	SAMN02953741	1.144642857142857
154	Drosophila grimshawi	7222	PRJNA728747	728747	Animals	Insects	191.383	36.7	GCA_018153295.1		JAECXY01	1380	13778.0	19405.0	2021/04/28	2021/08/19	Contig	NCBI	SAMN16729613	1.4084047031499491
156	Drosophila mojavensis	7230	PRJNA728747	728747	Animals	Insects	163.171	39.5	GCA_018153725.1		JAECYD01	301	15130.0	23305.0	2021/04/28	2021/08/19	Contig	NCBI	SAMN16729700	1.540317250495704
158	Drosophila virilis	7244	PRJNA501875	501875	Animals	Insects	189.444	40.3	GCA_003285735.2		QMEO02	222	16102.0	23429.0	2018/07/02	2018/10/23	Contig	NCBI	SAMN09383168	1.4550366414110047
160	Drosophila persimilis	7234	PRJNA501875	501875	Animals	Insects	195.513	45.0	GCA_003286085.2		QMET02	432	15854.0	20342.0	2018/07/02	2018/10/23	Contig	NCBI	SAMN09383163	1.2830831335940456
162	Drosophila sechellia	7238	PRJNA609127	609127	Animals	Insects	153.085	42.2729	GCA_004382195.2	chromosome 2L:NC_045949.1/CM015602.1; chromosome 2R:NC_045950.1/CM015603.1; chromosome 3L:NC_045951.1/CM015604.1; chromosome 3R:NC_045952.1/CM015605.1; chromosome 4:NC_045953.1/CM015600.1; chromosome X:NC_045954.1/CM015601.1; mitochondrion MT:CM016413.1	NIFZ01	378	16475.0	23935.0	2019/03/26	2020/03/03	Chromosome	NCBI	SAMN06827992	1.4528072837632777
169	Petromyzon marinus	7757	PRJNA611764	611764	Animals	Fishes	1089.05	48.3309	GCA_010993605.1	chromosome 1:CM021441.1; chromosome 2:CM021442.1; chromosome 3:CM021443.1; chromosome 4:CM021444.1; chromosome 5:CM021445.1; chromosome 6:CM021446.1; chromosome 7:CM021447.1; chromosome 8:CM021448.1; chromosome 9:CM021449.1; chromosome 10:CM021450.1; chromosome 11:CM021451.1; chromosome 12:CM021452.1; chromosome 13:CM021453.1; chromosome 14:CM021454.1; chromosome 15:CM021455.1; chromosome 16:CM021456.1; chromosome 17:CM021457.1; chromosome 18:CM021458.1; chromosome 19:CM021459.1; chromosome 20:CM021460.1; chromosome 21:CM021461.1; chromosome 22:CM021462.1; chromosome 23:CM021463.1; chromosome 24:CM021464.1; chromosome 25:CM021465.1; chromosome 26:CM021466.1; chromosome 27:CM021467.1; chromosome 28:CM021468.1; chromosome 29:CM021469.1; chromosome 30:CM021470.1; chromosome 31:CM021471.1; chromosome 32:CM021472.1; chromosome 33:CM021473.1; chromosome 34:CM021474.1; chromosome 35:CM021475.1; chromosome 36:CM021476.1; chromosome 37:CM021477.1; chromosome 38:CM021478.1; chromosome 39:CM021479.1; chromosome 40:CM021480.1; chromosome 41:CM021481.1; chromosome 42:CM021482.1; chromosome 43:CM021483.1; chromosome 44:CM021484.1; chromosome 45:CM021485.1; chromosome 46:CM021486.1; chromosome 47:CM021487.1; chromosome 48:CM021488.1; chromosome 49:CM021489.1; chromosome 50:CM021490.1; chromosome 51:CM021491.1; chromosome 52:CM021492.1; chromosome 53:CM021493.1; chromosome 54:CM021494.1; chromosome 55:CM021495.1; chromosome 56:CM021496.1; chromosome 57:CM021497.1; chromosome 58:CM021498.1; chromosome 59:CM021499.1; chromosome 60:CM021500.1; chromosome 61:CM021501.1; chromosome 62:CM021502.1; chromosome 63:CM021503.1; chromosome 64:CM021504.1; chromosome 65:CM021505.1; chromosome 66:CM021506.1; chromosome 67:CM021507.1; chromosome 68:CM021508.1; chromosome 69:CM021509.1; chromosome 70:CM021510.1; chromosome 71:CM021511.1; chromosome 72:CM021512.1; chromosome 73:NC_046141.1/CM021513.1; chromosome 74:NC_046142.1/CM021514.1; chromosome 75:NC_046143.1/CM021515.1; chromosome 76:NC_046144.1/CM021516.1; chromosome 77:NC_046145.1/CM021517.1; chromosome 78:NC_046146.1/CM021518.1; chromosome 79:NC_046147.1/CM021519.1; chromosome 80:NC_046148.1/CM021520.1; chromosome 81:NC_046149.1/CM021521.1; chromosome 82:NC_046150.1/CM021522.1; chromosome 83:NC_046151.1/CM021523.1; chromosome 84:NC_046152.1/CM021524.1; chromosome 85:NC_046153.1/CM021525.1; mitochondrion MT:NC_001626.1/	JAAIYE01	1434	2913.0	3332.0	2020/02/24	2020/02/24	Chromosome	NCBI	SAMN12629506	1.1438379677308617
170	Daphnia pulex	6669	PRJNA794129	794129	Animals	Other Animals	133.196	40.5892	GCA_021134715.1	chromosome 1:NC_060017.1/CP087239.1; chromosome 2:NC_060018.1/CP087240.1; chromosome 3:NC_060019.1/CP087241.1; chromosome 4:NC_060020.1/CP087242.1; chromosome 5:NC_060021.1/CP087243.1; chromosome 6:NC_060022.1/CP087244.1; chromosome 7:NC_060023.1/CP087245.1; chromosome 8:NC_060024.1/CP087246.1; chromosome 9:NC_060025.1/CP087247.1; chromosome 10:NC_060026.1/CP087248.1; chromosome 11:NC_060027.1/CP087249.1; chromosome 12:NC_060028.1/CP087250.1; mitochondrion MT:NC_000844.1/		13	22355.0	27985.0	2021/12/09	2022/02/11	Chromosome	NCBI	SAMN22866247	1.251845224781928
183	Pongo abelii	9601	PRJNA944618	944618	Animals	Mammals	3259.87	40.906	GCA_028885655.2	chromosome 1:NC_071985.2/CM054679.2; chromosome 2:NC_085928.1/CM068843.1; chromosome 3:NC_071988.2/CM054682.2; chromosome 4:NC_071989.2/CM054683.2; chromosome 5:NC_071990.2/CM054684.2; chromosome 6:NC_071991.2/CM054685.2; chromosome 7:NC_071992.2/CM054686.2; chromosome 8:NC_071993.2/CM054687.2; chromosome 9:NC_071994.2/CM054688.2; chromosome 10:NC_071995.2/CM054689.2; chromosome 11:NC_071996.2/CM054690.2; chromosome 12:NC_071997.2/CM054691.2; chromosome 13:NC_071998.2/CM054692.2; chromosome 14:NC_071999.2/CM054693.2; chromosome 15:NC_072000.2/CM054694.2; chromosome 16:NC_072001.2/CM054695.2; chromosome 17:NC_072002.2/CM054696.2; chromosome 18:NC_072003.2/CM054697.2; chromosome 19:NC_072004.2/CM054698.2; chromosome 20:NC_072005.2/CM054699.2; chromosome 21:NC_072006.2/CM054700.2; chromosome 22:NC_072007.2/CM054701.2; chromosome 23:NC_085929.1/CM068844.1; chromosome X:NC_072008.2/CM054702.2; chromosome Y:NC_072009.2/CM054703.2; mitochondrion MT:NC_002083.1/	JAQQLQ02	30	41757.0	81517.0	2023/02/24	2024/01/05	Chromosome	NCBI	SAMN10521808	1.952175683118998
203	Malus domestica	3750	PRJNA534520	534520	Plants	Land Plants	703.358	39.359	GCA_002114115.1	chromosome 1:NC_041789.1/CM007867.1; chromosome 2:NC_041790.1/CM007868.1; chromosome 3:NC_041791.1/CM007869.1; chromosome 4:NC_041792.1/CM007870.1; chromosome 5:NC_041793.1/CM007871.1; chromosome 6:NC_041794.1/CM007872.1; chromosome 7:NC_041795.1/CM007873.1; chromosome 8:NC_041796.1/CM007874.1; chromosome 9:NC_041797.1/CM007875.1; chromosome 10:NC_041798.1/CM007876.1; chromosome 11:NC_041799.1/CM007877.1; chromosome 12:NC_041800.1/CM007878.1; chromosome 13:NC_041801.1/CM007879.1; chromosome 14:NC_041802.1/CM007880.1; chromosome 15:NC_041803.1/CM007881.1; chromosome 16:NC_041804.1/CM007882.1; chromosome 17:NC_041805.1/CM007883.1; mitochondrion MT:NC_018554.1/	MJAX01	807	45412.0	52039.0	2017/04/28	2017/05/03	Chromosome	NCBI	SAMN05603590	1.1459305910332072
207	Lemur catta	9447	PRJNA779062	779062	Animals	Mammals	2245.6	41.3753	GCA_020740605.1	chromosome 1:NC_059128.1/CM036472.1; chromosome 2:NC_059129.1/CM036473.1; chromosome 3:NC_059130.1/CM036474.1; chromosome 4:NC_059131.1/CM036475.1; chromosome 5:NC_059132.1/CM036476.1; chromosome 6:NC_059133.1/CM036477.1; chromosome 7:NC_059134.1/CM036478.1; chromosome 8:NC_059135.1/CM036479.1; chromosome 9:NC_059136.1/CM036480.1; chromosome 10:NC_059137.1/CM036481.1; chromosome 11:NC_059138.1/CM036482.1; chromosome 12:NC_059139.1/CM036483.1; chromosome 13:NC_059140.1/CM036484.1; chromosome 14:NC_059141.1/CM036485.1; chromosome 15:NC_059142.1/CM036486.1; chromosome 16:NC_059143.1/CM036487.1; chromosome 17:NC_059144.1/CM036488.1; chromosome 18:NC_059145.1/CM036489.1; chromosome 19:NC_059146.1/CM036490.1; chromosome 20:NC_059147.1/CM036491.1; chromosome 21:NC_059148.1/CM036492.1; chromosome 22:NC_059149.1/CM036493.1; chromosome 23:NC_059150.1/CM036494.1; chromosome 24:NC_059151.1/CM036495.1; chromosome 25:NC_059152.1/CM036496.1; chromosome 26:NC_059153.1/CM036497.1; chromosome 27:NC_059154.1/CM036498.1; chromosome X:NC_059155.1/CM036499.1; chromosome Y:NC_059156.1/CM036500.1; mitochondrion MT:NC_059325.1/CM036502.1	JAJGPY01	185	30858.0	45154.0	2021/11/03	2021/11/04	Chromosome	NCBI	SAMN12621102	1.4632834273122044
